Abbreviation	Stands for	More information
MRI	Magnetic resonance imaging	A type of imaging test
MRSA	Methicillin-resistant Staphylococcus aureus	A type of infection
MS	Multiple sclerosis	A disease of the nervous system
NG	Nasogastric	You may need an NG tube to empty the contents of your stomach.
NIDDM	Non-insulin dependent diabetes mellitus	Type 2 diabetes
NKDA	No known drug allergies	
NSAID	Non-steroidal anti-inflammatory drug	Drugs like ibuprofen
OCD	Obsessive-compulsive disorder	A type of anxiety disorder
PAD	Peripheral arterial disease	Diseases of the arteries outside the heart
PAP	Papanicolau	You may need a PAP test to detect cervical cancer.
PAT	Paroxysmal atrial tachycardia	A disturbance of the rhythm of the heart
PET	Positron emission tomography	A type of x-ray test
PFT	Pulmonary function test	You may need PFTs to find out how your lungs are working.
PID	Pelvic inflammatory disease	Infection and inflammation of the female reproductive organs
PMS	Premenstrual syndrome	A group of symptoms that may happen before a woman’s period
PPD	Purified protein derivative	You may have a PPD skin test for tuberculosis.
PRN	As needed	Your doctor may write this on your prescription.
PSA	Prostate specific antigen	You may have a blood test for PSA to detect prostate disease.
PT	Prothrombin time	A measure of blood clotting
PTH	Parathyroid hormone	You may have a blood test for PTH to detect parathyroid disease.
PTSD	Post-traumatic stress syndrome	An illness caused by traumatic events
PTT	Partial thromboplastin time	A measure of blood clotting
PUD	Peptic ulcer disease	A disease of the stomach
PVC	Premature ventricular contraction	A disturbance of the rhythm of the heart
QID	Four times a day	Your doctor may write this on your prescription.
RA	Rheumatoid arthritis	A type of joint disease
RBC	Red blood cell	A type of blood cell
RSV	Respiratory syncytial virus	A virus that causes infections in children
Rx	Prescription	
SAD	Seasonal affective disorder	Depression during seasons with little light
SIDS	Sudden infant death syndrome	
SLE	Systemic lupus erythematosus	Lupus for short
SOB	Shortness of Breath	
STD	Sexually transmitted disease	
T3	Triiodothyronine	You may have a blood test for T3 to detect thyroid disease.
T4	Thyroxine	You may have a blood test for T4 to detect thyroid disease.
TB	Tuberculosis	An infection of the lungs
TAH	Total abdominal hysterectomy	Surgery to remove a woman's uterus (womb)
TIA	Transient ischemic attack	A small stroke
TIBC	Total iron binding capacity	A test that measures the amount of iron in your blood
TID	Three times a day	Your doctor may write this on your prescription.
TMJ	Temporomandibular joint	The joint that connects your jaw to the side of your head
TORCH	Stands for a group of infections that may cause birth defects	A newborn will have this test to check for infections. Sometimes the mother also needs the test.
TSH	Thyroid stimulating hormone	You may have a blood test for TSH to detect thyroid disease.
TURP	Transurethral resection of prostate gland	An operation to remove parts of the prostate gland
URI	Upper respiratory infection	Another name for the common cold
UTI	Urinary tract infection	Infection of the bladder and kidneys
XRT	Radiotherapy	Therapy that uses radiation, usually for cancer
WBC	White blood cell	A type of blood cell
