,0
54,"It has been suggested that fishes and geese are intermediate hosts or that the infection could occur primarily in animals , and that man is just an accidental host ."
55,"In the nostril , they can grow to the pharynx and the palate , or externally through the nasal orifice invading the upper lip ."
56,The ideal choice is complete surgical excision with electrodessication of the tumor base to prevent recurrence .
57,"In the skin it can manifest as abscesses , fistulae , verrucous lesions , ulcers , and keloidal scars ."
58,"Coccidioides immitis grows for 7-14 days as a white , downy colony but it can present variations in texture and color ."
59,The long-term therapeutic effects and side effects should become clear in the near future .
60,It should be administered with food but should not be taken with milk and other products that lower gastric acidity .
61,Oral and parenteral administration attain similar levels in the blood and the cerebrospinal fluid although the simultaneous administration of some drugs can interfere with fluconazole serum levels .
62,"Due to the fact that relapse can occur with all of the currently commercially available fungicides , careful follow-up after remission is important ."
63,"In the future , the interaction between the host and the parasite will be better defined and the immune response to the infection will be explained ."
64,Tropical Dermatology The agent of paracoccidioidomycosis expresses several antigens which may be recognized by antibodies raised in the host .
65,Here we will refer only to American histoplasmosis .
66,"In Latin America tourist groups , miners and speleologists that visit bat caves are often affected by what is considered to be an occupational mycosis ."
67,"The immunological response , general health and amount of conidia inhaled determine the clinical course ."
68,"In order to isolate the fungus , a variety of biological materials are processed , such as saliva , cerebrospinal fluid , blood , bone marrow , pus and biopsies ."
69,"Also , microconidia can be observed which are 2-4 µ in diameter , spherical or oval , have smooth walls , emerge from short , narrow conidiophores arranged at right angles with respect to the hypha ."
70,"By precipitation in a capillary tube , precipitins in their early stages can be shown ."
71,"During the course of the illness , the CF test should be periodically employed to monitor the course of the disease and to determine the prognosis ."
72,The IDR test will remain positive during almost the entire lifetime of the subject .
73,"When the ID test is conducted after the IDR test with histoplasmin , an M-band can appear which could lead to an error in the serological diagnosis ."
74,"In this event , the drip must be discontinued and another ampule of antihistamine administered ."
75,"When the symptoms of intolerance resolve , amphotericin B can be resumed at a slower rate ."
76,Current epidemiological data suggest that disseminated penicilliosis should be included as an AIDS-defining condition .
77,"Unpublished data revealed that there may be as many as 1,000 cases diagnosed and treated from 1991 to ."
78,"Bamboo rats and humans may acquire the infection from a common source , such as contaminated sugar cane or bamboos which bamboo rats feed on ."
79,It is suggested that perhaps a few conidia may be sufficient to cause the disease in susceptible persons .
80,"Experimental infection demonstrated it to be highly pathogenic for hamsters , mice and rats with dissemination to the reticuloendothelial system similar to Histoplasma capsulatum ."
81,"Severe anemia , thrombocytopenia and osteomyelitis seemed to be more common in children than in symptomatic adults but whether they were of any importance as diagnostic clues had to be further evaluated ."
82,It does not invade the spinal cord or the brain .
83,"Lepromatous leprosy is the progressive , systemic type , relatively transmissible , and it does not resolve spontaneously ."
84,"In the eye it can produce episcleritis , diffuse infiltrative or focal keratitis , iritis and iridocyclitis ."
85,Sixty per cent of lepromatous cases may present an acute reaction known as leprous reaction or erythema nodosum leprosum ( type II ) .
86,"In the pre-sulfa era , a great amount of medicine that did not have any effect was used , such as Chaulmoogra oil ."
87,"The WHO has declared that leprosy will no longer be a public health problem after the year 2000 ( less than 1 patient per 10,000 inhabitants ) ."
88,Physical disabilities must be treated with rehabilitation .
89,"Lesions are painless nodules and gummas that can open and discharge a thick , yellowish pus ; sinus tracts and ulceration are observed ."
90,It is a form of lupus in children and adolescents and also can cause a colliquative lesion in the neck .
91,"If several plaques coalesce , they may affect large areas ; in chronic cases in the extremities , lymphostasis and elephantiasis can occur ."
92,"It affects the calf , and it may involve thighs ."
93,It may also be observed in extremities .
94,It may also resolve spontaneously within two years .
95,The intradermal reaction with the purified protein derivative does not reflect the gravity of infection .
96,"Vaccination with BCG can excite a positive reaction to purified protein derivative , but for unknown reasons in 5 % of patients with tuberculosis there is a negative response to this antigen ."
97,PCR can identify DNA of M. tuberculosis in sections of paraffin by detecting a specific 123 bp fragment of DNA .
98,"In paucibacillary cases , vitamin D2 ( calciferol ) can be added , 600,000 U a week orally for 2-4 months ."
99,"If desired , a culture should be grown from the content of the vesicles or even from the skin beneath the scabs ."
100,The same can be said of other macrolides such as azithromycin and clarithromycin that on the other hand are more easily tolerated and have a simpler posological regimen than erythromycin .
101,"They are generally asymptomatic although in some cases there can be mild itching and , very exceptionally , pain ."
102,"It occurs in outbreaks , and it is not uncommon that while some of the lesions are disappearing , new lesions are beginning to appear ."
103,"The lesions , although they can appear anywhere on the body , are more abundant on the back , axillae , buttocks and the proximal extremities ; even without treatment , they disappear spontaneously in 1-2 weeks ."
104,"With some frequency , friction applied to a folliculur lesion can precipitate the appearance of a furuncle ."
105,"in the nasal fossae , one week a month , or oral rifampin 600 mg for 10 days can erradicate S. aureus and diminish the frequency of recurrences ."
106,Furuncles should be treated initially with warm compresses in order to promote liquefaction of their contents and if possible should be drained by means of a small incision .
107,"With time , fistulae and cicatricial areas form that can even limit the movement of the extremity ( Fig ."
108,"Although erysipelas can occur in any location , it most often appears in the lower limbs ."
109,"The repeated episodes of erysipelas in one extremity can generate elephantiasis nostras verrucosa , a severe and untreatable condition of hard lymphedema with verrucose tumefactions ."
110,Bacteremia can cause disseminated lesions similar to those of purpura fulminans .
111,"Ritter von Rittershain called it dermatitis exfoliativa neonatorum , and it is also known as pemphigus neonatorum because it more frequently affects newborn infants and because of its bullous appearance ."
112,Two types of epidermolytic toxins exist—A and B—which are produced by staphylococci and are responsible for destructive lesions in the skin and affect the granular layer causing cellular separation .
113,"The toxins elicit specific antibodies that have been found in up to 75 % of persons older than 10 , which would explain the absence of the lesions in adults ."
114,One or two days later bullous lesions appear which have a very thin wall which is easily broken allowing a clear serous or sometimes purulent fluid to escape .
115,"It should not be confused with poorly treated burns on children where there is a history of trauma nor with bullous epidermolysis , incontinentia pigmenti or even with erysipelas ."
116,The lesions do not usually leave scars .
117,"It should not be forgotten that the original focus resides in an extracutaneous bacterial location , which must be identified and adequately eliminated ."
118,"Equal attention must be paid to the detection and treatment of healthy carriers at home , in nurseries or relatives outside the house who are in contact with the child ."
119,In the skin it can cause malignant edema or anthrax ( malignant pustule ) .
120,"30 Anthrax Even the smallest trauma facilitates inoculation which can be cutaneous ( 95-98 % ) , respiratory or digestive ."
121,The incubation period is 1-3 days and the clinical manifestations are anthrax ( this term is also used to designate a furunculosis caused by Staphylococcus ) and malignant edema .
122,"In the dermis , edema , dilated vessels and polymorphonuclear infiltration which can reach the cellular tissue , are observed ."
123,"In endemic areas it is found in 2-5 % of these populations , but they may transmit it to other arthropods ."
124,"Soon thereafter epitrochlear and axillary adenopathy occur which can produce a sticky , clotted and white-chocolate pus ( Fig ."
125,Protective measures should be taken for exposed persons .
126,In some countries a vaccine is available which should be administered annually .
127,"It has low infectivity , seems to be transmitted during the secretory phase of rhinitis and is believed to have a long incubation period ."
128,"It can also affect the wings of the nasal alae , cheeks , upper lip , gums , soft and hard palates , uvula , orbits , lachrymal ducts , Eustachian tube and the tympanic cavity ."
129,"For the most part , it is sexually transmitted although it can also be passed through the placenta and by blood transfusion ."
130,They can spread over the entire body .
131,Late syphilis : After two years without treatment syphilis can take several forms .
132,"Late syphilis may cause destructive gummatous lesions in bone , mucosae and skin ( Fig ."
133,) that may give way to cardiovascular syphilis or to neurosyphilis .
134,It can cause a miscarriage before the fourth month .
135,The cerebrospinal fluid should be examined every 6 weeks .
136,"Dark field microscopy and serologic tests do distinguish the etiologic agents of syphilis , Bejel and pinta ."
137,"With penicillin allergy tetracycline can be used , 1-2 g/day for 5 days , erythromycin or chloramphenicol 8-10 mg/kg 4 times/day for 15 days ."
138,acquired immunodeficiency syndrome may cause reactivation of the latent treponematosis and at the same time facilitates the transmission of the infection by human immunodeficiency virus .
139,"They are destructive gummas that ulcerate and leave atrophic scars , often geometrical ."
140,"On radiology , osteoperiostitis can be seen , especially involving the tibia ."
141,"The development of a vaccine is the hope of the future.There have been massive and effective campaigns to combat this disease , and in some places it has been eradicated ."
142,"In order to avoid scar retraction , it is important to aspirate the affected lymph nodes ; they should not be drained ."
143,"Because it causes ulcerous lesions , its control constitutes a method to decrease the transmission of human immunodeficiency virus ( Genitourin Med 1995 ; 71:27-31 ) ."
144,This disease does not have a tendency to heal spontaneously .
145,"Woman are asymptomatic reservoir , and babies born of infected mothers can have the disease ."
146,In the homosexual man it can be present as a rectal infection with bloody diarrhea and tenesmus .
147,It drains to the surface through numerous sinus tracts ; it does not have a tendency to scar .
148,"In some cases other lymph node groups can be affected , e.g . , the axillary and cervical ."
149,Fluctuant and soft bubos can be drained ; this can improve the course .
150,"Drainage should be performed from the inferior part of the bubo upwards with a large , thick needle inserted through uninvolved skin to avoid the formation of fistulae ."
151,The body louse has a thin skin which requires humidity and the heat of its host in order to survive .
152,"If we consider that the average hair growth is 1 cm a month , the distance from the scalp at which we will find the nits indicates the time of the parasitation ."
153,"For example , body lice live on fabric , especially in people who do not change their clothing , a vital factor in their survival ."
154,We have found out that up to 33 % of the school children in suburban and rural areas may be infested .
155,This contradicts the study which reports infestation to be common in children with clean and short hair ( Head Lice Advice .
156,"If a white cloth is place under the head of an infested child and a finetoothed comb is drawn through the hair , lice , easily nits or ova , and a black powder-like lice feces will fall ."
157,"Pruritis is the main symptom , although with secondary infection there may be pain , fever , malaise and lymphadenopathy ."
158,"To confirm the diagnosis , meticulous examination of the clothing will reveal lice and nits ."
159,Pubic lice cause severe pruritus that is difficult to ignore .
160,"In hirsute individuals infestation may spread to the perianal and gluteal area , axilla , chest , back and umbilicus ."
161,It may also involve the beard and mustache .
162,"Children can become infested by sleeping with their parents or other affected people , not necessarily by sexual transmission ."
163,"It can cause blepharoconjuntivitis with epitheliopathy ( Br J Ophtalmol 1993 ; 77:81516 ) , as well as other ocular inflammations ."
164,"Wood ’ s lamp examination will reveal bluish , pearl-colored nits ."
165,"Toxicity may include local irritation , central nervous system irritation and aplastic anemia 20 ( Suppl 1 ) :104-109 ) ."
166,"Insecticides can provoke various skin reactions : rash , urticaria and irreversible hair loss ."
167,They return to the skin surface and begin a new cycle ( Fig .
168,A surface biopsy can be performed after applying a drop of cyanoacrylate .
169,Tunnels can be seen after applying India ink to the lesion and then cleaning the skin with alcohol .
170,"If a solution of tetracycline is applied in the same way , the tunnels can be seen under a Wood ’ s lamp ."
171,"In rural areas where medications are not available or are too expensive to purchase , vaseline or petrolatum with sulfur 5 % can be applied for four consecutive nights followed by a daily morning bath ."
172,"The medication should be repeated for one week if there are persistent lesions on the hands , feet and genitals ."
173,Patients must be instructed about measures to prevent re-infestations .
174,The patient should be instructed that symptoms can persist for several days after treatment .
175,The administration of medication should be described in written instructions so that accurate information can be available to the patient ’ s family .
176,The nematode can not complete its life cycle in man .
177,They lack the capacity to cross the basal layer in the epidermis due to lack of essential collagenases or due to the host immune response ( Actas Dermosif 1987 ; 78:751-52 ) .
178,All of these worms normally parasitize other mammals and reach human skin by accident .
179,For some time they reside in the kidney until they finally return to the stomach wall where the cycle begins again .
180,"Although it is not usual , it is thought that man can act as a permanent host ."
181,These last can not complete their life cycle in humans .
182,The internal ( endogenous ) asexual cycle does not have to be outside the host to develop .
183,Vesicles or blisters can accompany the initial lesion or its track .
184,Skin is the most frequently involved organ and the easiest to detect : 1 ) The inflammatory form or migratory panniculitis is of variable intensity .
185,"The surface is warm , painful or burning , with and orange-like aspect to the skin , and they can displace from 1-5 cm daily ( Fig ."
186,"They frequently present around the anus and in the gluteal area and can affect the lumbar , pelvic and thoracic regions ."
187,In humans the larva make tunnels into the epidermis and form linear tracks that progress from 1-2 cm daily .
188,Cryotherapy or the direct extraction of fly larvae with a sterilized needle may constitute an adequate treatment ( Piel 1989 ; 4:309-18 ) .
189,"Tungiasis is rarely diagnosed in Italy or in other European countries or North America , so it can really be considered a “ tourism-transmitted ” disease , contracted by tourists in endemic areas ."
190,Infestation may be contracted from sandy soil in areas inhabited by these animals .
191,The usual black dots may then become inflammatory nodules .
192,This will immediately reveal a cluster of eggs ( Fig .
193,"The removal of a chick-flea , for example , leaves a hole through which the tetanus spore can penetrate : this accounted for 25 % of the cases ( 11 cases ) ."
194,"Nevertheless , any open , poorly treated wound can support larvae ."
195,Without treatment this stage lasts 3-4 months and heals when the larva is expelled .
196,"If this is not adequate , mature flies can be obtained by application of meat to the lesion ."
197,"Larvae invade the meat which is placed in a ventilated , closed jar with sawdust on which the pupae will fall and will permit development of mature flies for identification ."
198,"Tropical Dermatology In isolated areas where there is no medication , wounds should be cleaned with soap and water ."
199,Vaseline can be applied to the wound to promote larval death or withdrawal from the wound .
200,In some forms of migratory myiasis the larvae can be visualized and removed with a needle .
201,"They may cause either a sub-clinical or self-limited infection , the localized cutaneous form which has a lymphocytic response or as a diffuse form if the infection spreads ."
202,"Both affect areas exposed to insect bites such as the face , trunk , and extremities ."
203,"The incubation period varies from 1-4 weeks , but it may be several years ."
204,It may last many years and does not respond well to treatment .
205,"Leishmaniasis recidiva cutis may represent a reactivation of an initial infection , probably due to the persistence of parasites and is considered by some authors as synonymous with lupoid leishmaniasis ."
206,It can heal spontaneously after a long time and leave a disfiguring Fig .
207,"Another medication , pentostam ( sodium stibogluconate ) 20 mg/kg/day may be given for 20 days ."
208,"Through different ways , it may invade the skin where it causes painful , rapidly growing necrotic ulcers ."
209,Most cases affect adults of both sexes ; it is rare in children although in nursing infants with diarrhea amebiasis must be considered .
210,"It can survive in this form for several days , contaminating food and water and invading new hosts ."
211,"When the parasite gains access to the blood or lymphatic circulations , it may reach the viscera and skin ( Int J Dermatol 1982 ; 21:472-5 ) ."
212,Tropical Dermatology Amoeba are usually found microscopically from fresh material taken from the base of the ulcer and placed on a glass slide to which warm saline solution is added to stimulate movement .
213,"On biopsy of the edge of the lesion , trophozoites may be seen ."
214,Emetine 1mg/kg/day for 10 days and dehydroemetine is given intramuscular not to exceed 60 mg daily because of its cardiac effects .
215,T. cruzei can live intra- and extracellularly .
216,They re-enter in the circulation and repeat the cycle .
217,This lesion may last 1-2 months .
218,Males as well as females bite and may transmit the parasite .
219,"In the host skin , they multiply , mature and migrate to the lymph nodes ."
220,"Also the initial lesion may present as a papular eruption accompanied by peripheral edema or , if on the face , as painful palpebral erythema and urticaria ."
221,"The diagnosis of both forms may be difficult , especially in travelers from non-endemic areas where physicians are not familiar with this illness ."
222,Feeding insects take up the parasite larvae from the skin and deposit them on other individuals .
223,It is found between 100-1500 m altitude and it can travel 5 km in 2-3 days .
224,"Skin subcutaneous lesions occur on or near the joints , on the head and upper trunk , but may also occur on the buttocks , in the sacrococcygeal region and the lower extremities ( onchocercomas ) ."
225,"The ocular involvement , occurring in 50 % of cases , is caused by microfilariae in the anterior and posterior chambers and may cause choroidoretinal atrophy ."
226,"There is intense pruritus in the face , neck , upper trunk and proximal extremities ; anxiety can be severe ."
227,"Slit lamp examination can reveal microfilariae in the anterior chamber , cornea and lens ."
228,"Cutaneous biopsy should be obtained with a curved scissor , scalpel or razor blade ; snips of 0.5 x 1 cm should include epidermis and dermis ."
229,"After rending the skin samples , they are observed under the microscope with saline solution to look for microfilariae ."
230,They may be fixed with alcohol and stained with Giemsa .
231,A negative biopsy does not rule out the diagnosis .
232,Hematoxylin and eosin staining can demonstrate microfilariae in the dermis and hypodermis with the usual markers of inflammation ( Fig .
233,It is able to control the disease which remains transmisibile ; it also diminishes the ocular damage as it destroys larvae very slowly .
234,Both trigger Mazzotti ’ s reaction in 88 % of cases in 24 hr and may be used as a diagnostic test .
235,"49 Onchocerciasis Because of this , many patients do not follow the prescription ."
236,dozen filarias can cause illness in man .
237,The family has eight groups of genes ( T1-T8 ) and at least four of them can be identified in a species .
238,This stage can last up to four weeks ; it ends when the adult parasites are eliminated from the intestine .
239,The newborn larvae penetrate the intestinal wall and enter the lymph and blood circulations from where they invade muscle .
240,It may reach 40°C and can last up to 2 weeks .
241,This is perhaps the only parasitosis that may be eradicated .
242,"According to the World Health Organization , this will be accomplished by the end of this century ."
243,Ingested larvae reach the human intestinal tract and migrate to the lymphatics and subsequently reside in the subcutaneous tissue where they mature in 8-12 months .
244,"Tropical Dermatology Until the parasite reaches the skin , the host can be asymptomatic ."
245,The wound can be the entry point of tetanus as well .
246,The proglotides are discharged in the feces or migrate outside the intestine .
247,They may remain unchanged for many years or may calcify ( Arch Dermatol 1978 ; 114:107-108 ) .
248,"In general , individuals with antibodies against HSV-1 do not have genital lesions ."
249,Antibodies do not prevent viral reactivation and the highest titers are reported in individuals with frequent episodes of recurrences .
250,"In adults , it may be caused by HSV-2 , and it follows digital-genital contact ."
251,"In patients with human immunodeficiency virus , skin ulcerations are extensive , especially in the anogenital area , and may extend to deep tissues ."
252,A placebo can decrease the frequency of recurrences 50 % .
253,"On the skin , compresses of chamomile tea are suggested , and also lead or aluminum acetate , or other drying antiseptics ."
254,They may affect the pharynx and palate and may leave a scar .
255,Fetuses of pregnant women with varicella in the first trimester may have congenital varicella syndrome .
256,"On contact with individuals with herpes zoster or varicella , non-immune individuals may develop varicella but not zoster ."
257,Varicella may affect conjunctivae and oral and vulvar mucosae .
258,"It generally begins with hyperesthesia , pain or a burning sensation along the distribution of the nerve involved ; 2-4 days later lesions appear that do not affect the midline ( Fig ."
259,"Blisters , purpuric lesions , necrosis and gangrenous scars may occur , which will heal slowly and leave hypo- or hyperpigmented scarring ( Fig ."
260,"Involvement of the facial and vestibulocochlear nerves may cause Ramsay-Hunt ’ s syndrome ( Bell ’ s palsy , temporomandibular arthralgia and vertigo ) ."
261,"The pre-eruptive pain may simulate myocardial infarction , pleuritis , cholecystitis , appendicitis or other painful illnesses ."
262,"The congenital varicella syndrome may cause hypoplasia of the extremities , scars along the course of involved dermatomes , ocular and central nervous system damage ( encephalitis and mental retardation ) and death ."
263,"In individuals in poor general health , antivirals or human gammaglobulin 16.5 % may be administered , 0.12-0.22 ml/kg ( 1.5 ml/10 kg intravenous q 5d ) ."
264,"With severe pain , nerve blocks , alcohol instillation of the nerve may be performed ."
265,"Warts can also be an occupational disease , .e.g . , in butchers ( HPV-2 and -7 ) ."
266,At the site of trauma they can present in a linear array in accordance with the Koebner phenomenon .
267,Only in a very small percentage of cases do lesions become dysplastic or neoplastic depending upon the type of human papilloma virus and genetic and environmental factors .
268,Lesions can last months or years .
269,They can simulate verruciform epidermodysplasia and become malignant .
270,"They predominate on the genitals , in men on the balanoprepucial area and in women on the labia majora ; they also can appear on the anus , rectum and urinary meatus ."
271,"They can appear like a cauliflower , mainly in women ( Fig ."
272,"With caution , cryotherapy , with liquid nitrogen for 10-15 sec , can be employed with special applicators or simply with a swab ."
273,It does not affect the soft palate or pharyngeal mucosa .
274,"This generalized pruritic rash begins on the face , neck and trunk ; it does not involve the hands or soles ."
275,"Temperature is 40-41°C , and convulsions can occur ."
276,"In endemic areas , vertical transmission and the risk of hemorrhagic infection in newborns should be considered ."
277,Patients can become symptomatic the first 3 years of disease in 10-15 % of cases ; in 2-20 % in six years and in 50 % in ten years .
278,"The lesions have a papulonodular aspect , are red-violet , scant or abundant , and can precede a systemic infection ."
279,"Neurosyphilis can occur within two years , and the secondary manifestations are exuberant with large papules , often hyperkeratotic ( Fig ."
280,"In children less than 18 months old , a positive test is not definitive due to the fact that the antibodies can be of maternal origin ."
281,"AZT can cause bone marrow suppression , nausea , headaches , insomnia , fatigue and myopathy ."
282,"It can cause pancreatitis , peripheral neuropathy and diarrhea ."
283,"The low frequency of pellagra in Mesoamerica may be due , to corn processing with calcium hydroxide before it is consumed in the form of “ tortillas . ” This process promotes the liberation of niacin from certain conjugated forms ."
284,It is also believed that the high amounts of leucine in sorghum and other cereals can cause pellagra by interfering with tryptophan and niacin metabolism .
285,"Central nervous system symptoms include irritability , asthenia , anorexia , headache , insomnia , anterograde and retrograde amnesia as well as behavior disturbances that can progress to psychosis and dementia ."
286,It may show intraepidermal or subepidermal vesicles or bullae and chronic inflammatory infiltrate .
287,"In the weaning period , nutrients are needed that satisfy the high demands required for normal growth ."
288,"Skin manifestations first appear on areas exposed to rubbing or to pressure like the groin , knees , gluteus and elbows ."
289,"Signs of malnutrition manifest first on the skin and may vary , most Fig ."
290,This may cause pruritus .
291,They produce fine scaling and resolve completely .
292,"They break with only slight friction , as when bathing , and leave a fine scaling surface ."
293,"In general , they do not break ; they occur as outbreaks and relapses ."
294,Tropical Dermatology Biopsy does not show sweat ducts involvement .
295,"The diet should omit canned foods , asparagus , beans , mushrooms , onions , corn , spinach , tomatoes , peas , pears , wheat bread , tea , cocoa , chocolate and baking Fig ."
296,"Other risk factors include : poorly ventilated houses , shelter constructed of tin , asbestos or tar with cardboard roofing , and those exposed to direct sun most of the day ."
297,"Disposable diapers , which are waterproof do not allow any ventilation of the skin , predispose to intertrigo ."
298,"Heat and humidity so influence the course of the disease that relocation to a temperate , dry climate causes the clinical picture to improve within hours ."
299,"The intense scratching and the lack of hygiene may lead to impetigo , folliculitis or furunculosis ."
300,Palliative measures include the use of cotton clothing which should Fig .
301,"Tropical Dermatology 61 be washed with soft soaps , improvement in housing ventilation , plants that provide shade and freshness , fans , and in the worst cases , air conditioning ."
302,"Also it is important to avoid , at least temporarily , activities that stimulate perspiration , e.g . , sources of intense heat and exposure to the sun ."
303,"And , if all of the above is inadequate , the patient must be transported to a temperate climate which cures most cases ."
304,"Medications used to improve the eczema and maceration are substitution of bath soaps , rinsing with astringent solutions such as Burow ’ s solution 2-3 times a day and the use of a topical corticosteroid ."
305,One must also treat associated mycotic ( candidiasis ) and bacterial infections .
306,The body of data would suggest therefore that this is usually a disease of otherwise healthy individuals .
307,F. ulcerans causes destruction of tissue culture cells and can synergize with other bacteria to cause destructive skin lesions in experimentally infected animals .
308,They may also occur on the arms .
309,Chronic tropical ulcers are more irregular than the acute forerunner and may extend over a wider area with an irregular margin .
310,Sickle cell ulcers may also affect a young age group although they are seldom as regular as tropical ulcers .
311,Cutaneous pathology caused by Coelenterates is yet another example of how changing habits in the population can lead to subsequent changes in some reactions of series of dermatologic cases .
312,"In the Mediterranean area , cases of dermatitis caused by contact with Coelenterates used to be attributed to jellyfish and the like ."
313,"The distribution of these species thus varies greatly according to the different areas considered , proving to be more important , for example , in coral reef areas ."
314,"They thus cause papular erythematous lesions to the skin that ulcerate , become necrotic and are slow to heal ; neuromuscular paralysis and cardiovascular collapse may be fatal within minutes of poisoning ."
315,"After a few minutes , respiratory problems may arise , and may lead to respiratory arrest and cardiovascular collapse ."
316,"The latter has structural features typical of the Coelenterates , including the offensive part designed to capture their prey , i.e ."
317,"The more serious forms may require more complex therapy ( analgesia , cardiovascular and pulmonary resuscitation ) ."
318,"In benign cases of Physalia physalis , slow-healing cutaneous lesions may be accompanied by persistent urticarial eruptions ."
319,Small children and elderly cardiac patients might require hospitalization .
320,"The result is obstruction of the follicular lumen by keratin , cellular debris and sebum to form micro-blackheads ( closed-comedones ) ."
321,Tropical Dermatology 66 Any form of acne may leave erythematous or hyperpigmented spots that disappear with the time .
322,"Similarly , patients who use retinoic acid or isotretinoin and expose themselves to the sun , develop erythema and severe skin irritation ."
323,It may be used as the sole treatment in cases of exclusively comedonic acne by applying it on the face twice a day .
324,"It yields better results in light to moderate comedonic acne , and it is usually necessary to combine it with a topical or systemic antibiotic ."
325,It can bleach the color out of the clothing and is irreversible .
326,"It is recommended that benzoyl peroxide be started at low concentrations ; the concentration can be increased , if necessary , as skin tolerance increases ."
327,"They should be taken on an empty stomach , especially tetracycline , because intestinal absorption decreases with foods that contain calcium or zinc ."
328,"Isotretinoin causes dryness of the skin , lips and ocular and nasal mucosae that can be improved with moisturizing creams , lip protecters , artificial tears and petrolatum , respectively ."
